id,stars,comment,create_at,user_id
117,5,Satisfait,2026-06-28 12:37:27.940805+00,1178
124,5,Service impeccable  et Manageur très  Professionnel ,2026-06-30 18:14:46.199492+00,839
125,5,Super ,2026-06-30 19:19:35.945986+00,1197
168,5,Bien. ,2026-07-16 16:53:36.309243+00,28
169,4,Tres pratique vraiment,2026-07-16 18:26:45.467606+00,1297
170,3,J'essaie et je vous reviens 👌,2026-07-17 19:54:08.456989+00,1298
127,5,Cool,2026-07-01 13:48:35.552557+00,959
128,1,Problème de connexion après un seul jour d'abonnement ,2026-07-01 14:17:56.939837+00,1200
129,5,Très bien,2026-07-01 18:04:47.008219+00,1182
130,3,J'ai pas encore essayé ,2026-07-01 19:55:31.763397+00,1193
131,5,Très bien,2026-07-01 21:52:29.818124+00,884
171,5,Service impécable,2026-07-17 20:01:16.077777+00,616
133,4,"Le site est fiable, abordable et sécurisé ",2026-07-02 10:58:26.011826+00,1009
134,1,Lent et les numéros ne sont pas toujours disponible pour les paiements ,2026-07-02 22:05:53.479161+00,521
135,5,bien,2026-07-03 15:25:38.105463+00,1208
136,5,"J'aime bien le service, c'est un service garant",2026-07-03 19:10:39.080949+00,258
137,3,Essentiel,2026-07-03 19:25:04.653359+00,184
138,5,Top,2026-07-04 06:50:36.251955+00,1213
139,2,Je découvre encore ,2026-07-04 12:38:42.658037+00,1220
140,5,Souley,2026-07-05 05:16:53.907165+00,1216
141,5,Good ,2026-07-05 14:26:27.256438+00,358
142,5,Super,2026-07-05 14:38:46.570484+00,608
144,2,Super,2026-07-07 12:54:32.472595+00,367
145,5,Ce bonne ,2026-07-08 12:03:10.093252+00,1214
146,5,Merci ,2026-07-08 23:06:29.928671+00,1062
147,4,Cool,2026-07-09 09:49:01.614259+00,67
148,5,Très rapide en qualité de service 🙏,2026-07-09 14:08:51.101261+00,1246
149,5,Merci pour la rapidité d'exécution !,2026-07-09 15:36:29.585301+00,1251
150,5,Bien,2026-07-09 16:16:15.808857+00,1252
152,5,Intéressant ,2026-07-11 01:37:28.072154+00,1261
153,5,"Très bonne plateforme, avec un service client efficace. ",2026-07-11 13:04:35.484779+00,914
172,5,Sav magnifique ,2026-07-17 21:56:32.985658+00,707
132,5,Vous êtes les meilleurs merci beaucoup... C'est top,2026-07-02 07:25:08.584589+00,1144
154,5,Service excellent ! Paiement en toute transparence. Je recommande fooorrrtttt 😌,2026-07-11 18:02:32.907079+00,926
126,5,Je n’ai pas toujours réussi mon abonnement,2026-06-30 20:52:32.120866+00,1194
155,2,Rien pour moi,2026-07-12 14:00:06.416392+00,1271
156,5,Super,2026-07-12 14:46:36.166939+00,770
157,4,Pas de commentaire ,2026-07-12 17:22:16.986774+00,301
158,5,Satisfaction garantie ,2026-07-12 18:06:36.804944+00,119
159,5,J'aime beaucoup la qualité de vos services ,2026-07-13 07:39:07.180327+00,1111
160,5,👍,2026-07-13 12:19:32.826649+00,1279
161,3,"excellent
",2026-07-13 14:42:03.694592+00,1229
162,5,J’aime et je n’ai jamais été déçu ☺️,2026-07-13 14:59:38.668358+00,390
163,5,C'est cool mais je n'ai pas encore reçu le code de votre réseau ,2026-07-13 18:59:25.192487+00,1283
164,5,Très belle expérience ,2026-07-15 13:45:53.380529+00,1278
165,5,"Rapid et fiable
Merci ",2026-07-15 19:29:50.786325+00,1292
166,5,C'est rapide merci ,2026-07-16 11:20:39.124898+00,1293
167,2,J'ai aimé,2026-07-16 11:35:42.085894+00,1076
173,3,Bonjour chef ,2026-07-19 08:18:17.716072+00,1303
174,5,Cool,2026-07-19 12:28:49.041168+00,747
175,3,"C'est une Bonne plate forme, les services sont Hypers Top",2026-07-20 16:42:26.168068+00,1301
176,3,Cool,2026-07-20 18:20:39.603912+00,1307
177,3,Super ,2026-07-20 19:07:06.440502+00,464
178,5,"Je découvre, jusqu'ici tout va bien ",2026-07-22 22:23:10.417807+00,1317
179,5,Satisfaite,2026-07-23 19:17:13.796573+00,1149
180,5,Très satisfait du service. J’utilise cette plateforme depuis un moment pour souscrire à mes abonnements et tout s’est toujours bien passé. Le service est rapide et fiable.,2026-07-23 19:57:16.902892+00,1000
143,5," 
 
J'ai pas encore essayé 

",2026-07-05 18:19:29.395193+00,1199
151,5,C'est cool et super facile d'utilisation ,2026-07-10 09:34:04.007752+00,1020
181,4,Cool,2026-07-25 09:49:24.929051+00,69
182,5,Parfait ,2026-07-25 19:19:55.330099+00,1159
183,5,C’est une meilleure plate-forme,2026-07-28 16:58:50.483497+00,131
