id,order_id,platform,price,duration,purchase_date,status,type,user_id,renewal_from_id,gift_code_id,subscription_id,motif
835,56e06ece-05f6-4a95-aac9-b1b2bf25468c,Prime Video,2000,1 mois,2026-04-26 20:30:25.16637+00,completed,mutual,607,,,468,subscription
1607,c2b5ec9b-27ed-498f-8332-145a1d8dcce2,Paramount Plus,2500,1 mois,2026-06-20 12:55:14.402198+00,completed,mutual,1114,,,762,subscription
957,5ff3a083-9498-4eee-82ab-535daec602cc,Netflix,2500,1 mois,2026-05-05 14:16:40.759975+00,completed,mutual,615,,,519,subscription
1124,92b1e2a9-e8e7-4777-9900-56627dbae68f,Crunchyroll,1500,1 mois,2026-05-19 08:21:02.656803+00,completed,mutual,98,,,574,subscription
843,c9246b6a-d953-41a4-be3a-6a518b470b67,Netflix,2500,1 mois,2026-04-27 12:44:44.037448+00,completed,mutual,979,,,470,subscription
907,f07f9b8d-bf13-4ee5-9163-f6387042f0dc,Netflix,2500,1 mois,2026-05-01 19:31:39.614763+00,completed,mutual,120,242,,242,subscription
19,1e8b19d3-3fbd-4de6-b9f7-a4733f5c54cf,Netflix,2500,1 mois,2026-03-16 18:06:44.934237+00,completed,mutual,143,,,9,subscription
850,5bf0b2d9-5934-4360-8cea-d3c496feaece,Netflix,2500,1 mois,2026-04-27 21:26:34.158658+00,completed,mutual,974,,,473,subscription
914,849c9793-6319-4a37-b264-f40dc7fe22d0,Prime Video,2000,1 mois,2026-05-01 21:54:58.556762+00,completed,mutual,108,,,497,subscription
920,3fed0c62-b503-492d-958b-44c4614ca0fa,Netflix,2500,1 mois,2026-05-02 14:30:19.860532+00,completed,mutual,887,,,500,subscription
927,15eb2262-6a8c-4bec-92be-3b0965843a0d,Netflix,2500,1 mois,2026-04-30 17:01:08.640207+00,completed,mutual,87,233,,233,subscription
858,44c2baec-cdd8-45b4-b977-15afe4b70a9f,Hbo Max,2500,1 mois,2026-04-28 16:47:17.327444+00,completed,mutual,863,198,,198,subscription
864,e9fe7884-343a-4b6a-afba-b4f99186ca59,Surfshark,1500,1 mois,2026-04-28 20:01:23.040542+00,completed,mutual,985,,,481,subscription
1094,fa53a3f4-24eb-4184-8772-d124a94a6a26,Netflix,2500,1 mois,2026-05-16 17:22:55.276642+00,completed,mutual,56,27,,27,subscription
871,05023808-1b16-42e7-878e-4263da6d2185,Prime Video,2000,1 mois,2026-04-29 17:22:00.743586+00,completed,mutual,865,217,,217,subscription
966,b3ed059c-5bd1-4b71-adf5-8f83b1719745,Prime Video,2000,1 mois,2026-05-06 19:32:50.030733+00,completed,mutual,999,,,522,subscription
972,b10a93b6-c60d-4bfd-9419-01a646cb663b,Netflix,7000,3 mois,2026-05-07 16:55:09.204969+00,completed,mutual,670,,,524,subscription
71,29e2e5e8-6d1b-447a-a38b-0eb9ed8def00,Crunchyroll,4000,3 mois,2026-03-18 23:52:16.135163+00,completed,mutual,635,,,51,subscription
980,ebffdc28-f97c-4ada-85f0-648737db9b68,Prime Video,2000,1 mois,2026-05-08 16:08:52.344888+00,completed,mutual,875,,,528,subscription
82,b626ad02-c7dd-45c5-a8f0-1d132d2be5ea,Apple TV,3000,1 mois,2026-03-19 12:12:42.416264+00,completed,mutual,498,,,70,subscription
988,81031710-7460-4830-ad97-243986fdc248,Netflix,2500,1 mois,2026-05-04 14:14:00+00,completed,mutual,158,303,,303,subscription
994,603b9463-8bc2-478d-a82b-c69f455be6c5,Netflix,2500,1 mois,2026-05-09 20:35:52.692128+00,completed,mutual,1003,,,535,subscription
105,a6692632-7d0c-4da4-81c2-c2ef11a97bf3,Crunchyroll,1500,1 mois,2026-03-20 09:15:25.923374+00,completed,mutual,809,,,71,subscription
1037,3a58708e-960a-4f30-92f8-02954b0c6a9f,Netflix,2500,1 mois,2026-05-11 23:46:00+00,completed,mutual,457,322,,322,subscription
112,8c527757-0e5d-408c-ba12-313eb505332c,Spotify,5500,3 mois,2026-03-20 16:50:13.054471+00,completed,mutual,811,,,78,subscription
1002,e2d203e8-3bae-4745-a0ce-4a4c70bbda17,Prime Video,2000,1 mois,2026-05-10 08:25:36.668294+00,completed,mutual,624,,,538,subscription
1248,f4a8e8ae-dfb8-4c35-854e-f381b3d33215,Netflix,2500,1 mois,2026-05-29 17:10:51.322785+00,completed,mutual,694,,,621,subscription
49,e61670ce-e8f6-410e-b5ff-892b474e5902,Netflix,2500,1 mois,2026-03-17 19:31:39.329889+00,completed,mutual,790,,,29,subscription
118,966316ee-7788-4068-9c06-101351dd855e,Surfshark,4000,3 mois,2026-03-20 19:29:36.359069+00,completed,mutual,795,,,79,subscription
1149,dd8fc0d5-89f5-4824-a610-1eb74eab7c5e,Spotify,2000,1 mois,2026-05-19 00:00:00+00,completed,mutual,957,426,,426,subscription
1016,fe6bcdac-ce66-4c1a-89b8-87831d72e023,Prime Video,2000,1 mois,2026-05-08 23:58:00+00,completed,mutual,85,108,,108,subscription
1136,c10a73be-831e-46e4-8ea5-356225ef639f,Netflix,2500,1 mois,2026-05-21 12:39:19.025436+00,completed,mutual,1015,,,579,subscription
1051,c6542437-ec9e-4362-a388-5933b6dae55f,Netflix,2500,1 mois,2026-05-10 23:36:00+00,completed,mutual,929,371,,371,subscription
85,3b36f56f-089e-4079-a8f3-19e54007dbc5,Netflix,7000,3 mois,2026-03-19 13:19:21.447064+00,completed,mutual,109,,,59,subscription
1058,cbd45c15-991f-4584-a86a-c8fe43143dbe,Prime Video,5000,1 mois,2026-05-09 23:21:00+00,completed,personal,467,357,,357,subscription
89,05a5144a-e90c-411e-9211-996a46cd8445,Netflix,2500,1 mois,2026-03-19 17:08:41.099095+00,completed,mutual,683,,,63,subscription
1116,d0ad79bc-3666-47e4-ad69-e8b229216367,Netflix,2500,1 mois,2026-05-18 18:09:28.625724+00,completed,mutual,554,,,567,subscription
1170,080e9883-ab33-4d3d-976b-16f251aa0b8f,Netflix,5500,1 mois,2026-05-24 12:16:46.02103+00,completed,personal,839,128,,128,subscription
1164,bcb4fca0-5660-468c-839f-5079c9a4903d,Prime Video,10000,6 mois,2026-05-23 17:14:57.314845+00,completed,mutual,1021,,,589,subscription
35,b1cd4e3a-9dc5-4f8f-b2e2-0662ff20127b,Prime Video,2000,1 mois,2026-03-17 16:33:24.989165+00,completed,mutual,787,,,23,subscription
1183,04b47a21-ae07-4442-ba2b-654295261d19,Netflix,2500,1 mois,2026-05-23 13:37:48.002779+00,completed,mutual,638,42,,42,renewal
1189,7894d1e4-7c9f-4c3d-aa92-99a2732c4561,Netflix,7000,3 mois,2026-05-24 19:19:19.456998+00,completed,mutual,188,135,,135,renewal
1195,64856010-2b37-4e26-b5bd-248d97db41cc,Disney Plus,2500,1 mois,2026-05-26 22:42:54.398372+00,completed,mutual,1026,,,601,subscription
1211,ccaa9b11-4ad4-4626-9ab1-4599756163b0,Netflix,2500,1 mois,2026-05-28 11:50:21.554937+00,completed,mutual,1031,,,612,subscription
939,7318ab54-eb52-497c-8679-48e227430d17,Apple Music,2000,1 mois,2026-05-02 23:13:04.065491+00,completed,mutual,986,,,,subscription
1377,c7decd2b-f9d3-40af-abfa-9d2fce0ba4c3,Prime Video,2000,1 mois,2026-06-08 15:29:05.631284+00,completed,mutual,540,,,,subscription
1125,8066da21-1cc8-479e-9e22-f66a5d380aff,Netflix,2500,1 mois,2026-05-17 12:35:20.128866+00,completed,mutual,112,41,,41,subscription
1382,31b9ff35-5e9d-4dcf-b3d6-42c6810f3442,Paramount Plus,2500,1 mois,2026-06-08 18:28:59.815479+00,completed,mutual,475,342,,342,renewal
828,718dbb86-5e33-4d65-90c8-cc564afd618c,Hbo Max,2500,1 mois,2026-04-27 15:38:29.60858+00,completed,mutual,859,178,,178,subscription
836,b8a6da9d-cdbd-4b94-96fa-741ba8636abe,Prime Video,2000,1 mois,2026-04-24 23:28:00+00,completed,mutual,540,173,,173,subscription
769,0dede361-a216-4bbd-9904-e5e87a9a49b2,Hbo Max,2500,1 mois,2026-04-21 21:02:57.181626+00,completed,mutual,964,,,442,subscription
1031,80443745-84c8-4718-b09c-ccc87a7e4e5e,Prime Video,2000,1 mois,2026-05-09 17:27:09.952286+00,completed,mutual,475,337,,337,subscription
842,d250baf5-0bdb-403f-908d-e93846553b90,Netflix,2500,1 mois,2026-04-27 12:21:29.182986+00,completed,mutual,980,,,471,subscription
948,1e925b51-6c52-4c9f-a469-098cafc17116,Netflix,2500,1 mois,2026-05-04 13:16:17.641973+00,completed,mutual,771,,,515,subscription
777,2e257c69-a289-4c7e-8910-9784c5bb3a44,Netflix,7000,3 mois,2026-04-22 08:23:10.437839+00,completed,mutual,299,,,446,subscription
954,768f22fa-c782-416f-9508-146b26dc9afe,Netflix,2500,1 mois,2026-05-03 17:28:38.880363+00,completed,mutual,879,260,,260,subscription
893,a73dff28-86a5-4f3c-aca0-ed0965b94b68,Netflix,7000,3 mois,2026-04-29 20:28:07.887205+00,completed,mutual,651,224,,224,subscription
964,5b5ab094-fb5a-4c9f-9cea-af80a9540c0e,Prime Video,2000,1 mois,2026-05-06 17:40:26.187682+00,completed,mutual,859,,,521,subscription
859,56478753-57f8-475f-840d-d2fd89c4b159,Paramount Plus,2500,1 mois,2026-04-28 16:46:43.047881+00,completed,mutual,863,197,,197,subscription
801,75cf5b70-ebe0-4289-b00d-db809a599337,Prime Video,2000,1 mois,2026-04-24 00:22:23.546918+00,completed,mutual,969,,,455,subscription
1071,626880c1-18f5-4ed0-a971-9b1118189d78,Netflix,2500,1 mois,2026-05-14 11:50:51.259575+00,completed,mutual,1009,,,551,subscription
808,30875278-36ee-4630-bfaa-95d7991f514c,Netflix,2500,1 mois,2026-04-24 12:28:21.161939+00,completed,mutual,840,129,,129,subscription
1077,249c2249-0534-444b-a0e0-35dc562a8181,Netflix,2500,1 mois,2026-05-15 13:02:42.941376+00,completed,mutual,300,,,556,subscription
901,ddbec873-5ba8-4312-91d1-e935dde89a64,Prime Video,2000,1 mois,2026-05-01 09:37:10.217743+00,completed,mutual,429,,,490,subscription
906,c0d2d3cf-9aa3-4c5a-a0bf-9b3b70756645,Netflix,2500,1 mois,2026-05-01 13:05:42.526855+00,completed,mutual,541,,,494,subscription
973,d3d7819a-0f6a-4d54-9e25-dc6ca69ddeb6,Surfshark,1500,1 mois,2026-05-07 17:53:08.447362+00,completed,mutual,1000,,,525,subscription
872,5a47b635-ff0e-4726-960a-d8578d1b4dea,Prime Video,2000,1 mois,2026-04-22 23:28:00+00,completed,mutual,427,140,,140,subscription
1225,5527849e-5599-446d-905e-f2df8d12488c,Netflix,2500,1 mois,2026-05-28 19:17:21.295545+00,completed,mutual,857,,,616,subscription
1196,305f1f11-d931-49b7-8198-15e2ad32bc4c,Surfshark,1500,1 mois,2026-05-26 22:44:44.297455+00,completed,mutual,1026,,,602,subscription
1086,31be9571-00b8-44c9-b7ca-a85dfcb16546,Netflix,2500,1 mois,2026-05-27 15:47:05.551045+00,completed,mutual,979,470,,470,subscription
921,60e0c2d0-3fbe-47b7-a31b-850a54a34ab2,Prime Video,2000,1 mois,2026-05-02 15:19:54.616362+00,completed,mutual,715,,,503,subscription
981,48d2ece6-211f-457c-a8f7-65746b8da88d,Spotify,2000,1 mois,2026-05-08 16:32:51.434528+00,completed,mutual,610,,,529,subscription
849,5b584cb4-2a17-4fe2-a1c1-eadd7709015b,Netflix,5500,1 mois,2026-04-27 21:25:32.906885+00,completed,personal,982,,,474,subscription
1093,ad5b921d-1482-4f6c-b20d-baf46a453412,Netflix,2500,1 mois,2026-05-16 21:05:00.637064+00,completed,mutual,336,,,562,subscription
1857,ad8b18e3-57fd-400e-b33d-878717689460,Prime Video,2000,1 mois,2026-07-01 22:49:12.558626+00,completed,mutual,1203,,,,subscription
1100,bcb70575-4d88-4b62-ae18-6d4bbe084f3d,Crunchyroll,1500,1 mois,2026-05-17 11:20:12.293845+00,completed,mutual,1012,,,565,subscription
989,1c308994-fd36-490b-80c1-23be91b6fdb1,Prime Video,2000,1 mois,2026-05-06 23:13:08.3492+00,completed,mutual,226,309,,309,subscription
1130,de7d6cfe-c241-4766-8108-ef663c4be6ce,Netflix,2500,1 mois,2026-05-20 19:08:54.42029+00,completed,mutual,28,,,576,subscription
1003,ffc7ada1-afd2-4cac-bc5b-a6ec0beb8686,Netflix,2500,1 mois,2026-05-10 17:41:15.217573+00,completed,mutual,1004,,,537,subscription
1237,fe890301-2bd7-4d13-857f-4b8384306f8c,Netflix,5500,1 mois,2026-05-27 20:11:14.517208+00,completed,personal,616,183,,183,renewal
1117,e234bbc4-120e-4179-9364-599824388cde,Apple TV,3000,1 mois,2026-05-18 12:52:00+00,completed,mutual,498,70,,70,subscription
1017,032af6fc-e0c6-412c-ae63-fbec79f328aa,Surfshark,1500,1 mois,2026-05-08 23:57:00+00,completed,mutual,85,110,,110,subscription
1241,d9643377-792e-4202-9c40-5f6c0827e04d,Prime Video,2000,1 mois,2026-05-28 18:55:03.357929+00,completed,mutual,863,479,,479,renewal
1165,51b5f2ec-7901-4018-9870-31e70a866765,Netflix,13000,6 mois,2026-05-23 17:33:22.817044+00,completed,mutual,1021,,,590,subscription
1244,8da00590-c360-4767-b197-c7530cc33b98,Spotify,2000,1 mois,2026-05-29 08:29:34.844526+00,completed,mutual,876,,,619,subscription
241,2a3a9564-79af-4d69-8058-6094df63684b,Apple TV,3000,1 mois,2026-03-25 16:53:14.725152+00,completed,mutual,28,,,130,subscription
1253,351fdcf5-1a1f-4802-9662-1dd827947198,Prime Video,2000,1 mois,2026-05-30 07:31:31.547251+00,completed,mutual,21,229,,229,renewal
1190,3f8508ee-ee02-4c0d-9d6c-71e1b1988547,Prime Video,2000,1 mois,2026-05-24 19:20:25.810749+00,completed,mutual,188,136,,136,renewal
1158,7d7f0cbb-bd2b-4146-b78b-e4126bb5f3ac,Spotify,2000,1 mois,2026-05-23 11:26:08.997628+00,completed,mutual,432,,,586,subscription
242,6ea4399a-bac6-499b-be76-9af964f9d15e,Netflix,2500,1 mois,2026-03-25 17:12:18.043692+00,completed,mutual,398,,,131,subscription
1257,ba9e66fa-cec4-4563-867d-7a4c3cbe4b1c,Netflix,2500,1 mois,2026-05-29 19:43:09.356338+00,completed,mutual,100,221,,221,renewal
1184,410a90a6-0213-4914-a6a0-da106f2af164,Netflix,2500,1 mois,2026-05-25 18:13:09.788952+00,completed,mutual,959,,,599,subscription
1202,5dbb6c6a-7ba7-4977-a893-89d096f1389b,Surfshark,1500,1 mois,2026-05-27 12:18:23.651618+00,completed,mutual,887,,,604,subscription
1206,b79f54b0-1221-4b8e-920e-d45e97df3e9d,Spotify,2000,1 mois,2026-05-26 23:15:00+00,completed,mutual,17,171,,171,renewal
884,50ce04f3-4b00-4eaa-a186-1048f0500fc4,Netflix,2500,1 mois,2026-04-29 23:10:00+00,completed,mutual,703,,,,subscription
211,128cb13d-6d76-4517-a922-7211c36b20ad,Netflix,2500,1 mois,2026-03-24 10:09:24.55058+00,completed,mutual,834,,,117,subscription
1059,bc406fa9-ad84-4649-a503-8188b18f568f,Spotify,2000,1 mois,2026-05-06 23:43:00+00,completed,mutual,19,,,,subscription
243,3ce5d4e4-0db7-48b8-bc98-0457f626eb7e,Netflix,2500,1 mois,2026-03-25 17:53:51.583328+00,completed,mutual,841,,,132,subscription
244,cea8194e-874f-4b80-b44c-7a0134c6256d,Crunchyroll,1500,1 mois,2026-03-25 18:24:29.414016+00,completed,mutual,842,,,133,subscription
181,aff51c4f-390e-463b-8100-0a03c35b8da9,Apple Music,2000,1 mois,2026-03-23 12:41:09.075301+00,completed,mutual,827,,,98,subscription
292,8e68ca34-09e3-42d6-a6b6-e668a02d7f43,Netflix,2500,1 mois,2026-03-27 13:49:34.661765+00,completed,mutual,855,,,165,subscription
930,b250be3c-a18b-4a04-8ce3-222c2e653e40,Spotify,2000,1 mois,2026-04-30 23:13:00+00,completed,mutual,85,252,,252,subscription
1118,c46e3e26-2dfe-49f5-b122-210384974ee8,Prime Video,2000,1 mois,2026-05-18 20:48:41.483631+00,completed,mutual,1013,,,,subscription
1383,1d05d62e-483e-4725-add0-c30efed81ff1,Netflix,2500,1 mois,2026-06-15 17:30:56.71945+00,failed,mutual,475,339,,,extension
820,66c32066-8229-4d5d-800b-b2a235bcc83d,Netflix,2500,1 mois,2026-05-07 17:10:16.457461+00,completed,mutual,17,317,,317,subscription
885,17a46f86-b7f2-443b-95c5-542325cf649c,Netflix,2500,1 mois,2026-04-27 15:58:03.208886+00,completed,mutual,21,181,,181,subscription
1064,4758705f-3e64-40b3-bea5-26b0835b20bb,Prime Video,2000,1 mois,2026-05-12 15:00:45.76198+00,completed,mutual,925,370,,370,subscription
940,4ac1e12c-698f-49ae-b75f-2f84d89ff1a0,Netflix,10500,1 mois,2026-05-03 07:40:11.758728+00,completed,personal,993,,,513,subscription
1069,bfaf88f9-8bf1-42bb-b87d-ee52341a676c,Prime Video,54000,1 an,2026-05-14 11:27:51.188397+00,completed,personal,997,,,552,subscription
829,e34bb4a3-a36d-43fb-8f65-e81e42cbabc5,Netflix,7000,3 mois,2026-04-25 09:42:13.68295+00,completed,mutual,849,145,,145,subscription
770,4b66407e-1e12-46ec-b14c-4ab3511a930e,Surfshark,1500,1 mois,2026-04-21 21:10:31.621377+00,completed,mutual,964,,,443,subscription
837,4154b214-00e0-4852-855b-4eb001be59d4,Netflix,2500,1 mois,2026-04-22 23:29:00+00,completed,mutual,540,172,,172,subscription
1025,3903062e-9353-41ca-b127-71df1c75c5fa,Netflix,2500,1 mois,2026-05-11 18:07:57.600409+00,completed,mutual,915,,,542,subscription
894,5b72a2c4-2a7a-4279-aace-e28e596f6b25,Netflix,7000,3 mois,2026-04-30 22:27:34.293457+00,completed,mutual,228,,,485,subscription
1212,21348dcc-e087-4f10-86fa-57fa59d1b051,Crunchyroll,1500,1 mois,2026-05-28 12:10:16.594415+00,completed,mutual,1031,,,613,subscription
949,a9fae501-e680-428b-99bf-1868f9f21e9d,Netflix,2500,1 mois,2026-05-04 16:07:02.268573+00,completed,mutual,424,,,516,subscription
844,16a7e6a0-f75c-4834-b174-faadf415c366,Crunchyroll,1500,1 mois,2026-04-27 16:19:05.110924+00,completed,mutual,979,,,476,subscription
1229,5785732d-5df2-45d8-aaa1-ee799f73e06f,Prime Video,2000,1 mois,2026-05-22 23:28:00+00,completed,mutual,427,140,,140,renewal
1220,fc0203d8-8ea1-44bd-a28b-f0cb8b2859ce,Crunchyroll,1500,1 mois,2026-05-28 16:30:00.536765+00,completed,mutual,741,,,615,subscription
902,f011afbc-9ad3-467f-85ad-724237e99d26,Surfshark,1500,1 mois,2026-05-01 09:39:12.772782+00,completed,mutual,429,,,491,subscription
1079,7ffe6e30-08a1-410e-a13e-ebfff203fa4f,Surfshark,1500,1 mois,2026-04-28 13:23:54.26489+00,completed,mutual,862,193,,193,subscription
958,5458cacb-9bef-4caf-805c-fa5ea5901fb4,Spotify,2000,1 mois,2026-05-02 23:33:00+00,completed,mutual,609,277,,277,subscription
802,52c71a05-8633-48d8-9f2f-438fa4d5ae1e,Prime Video,2000,1 mois,2026-04-24 13:24:35.969146+00,completed,mutual,743,,,456,subscription
860,a95d7954-c439-4f17-8906-ded008a3723c,Prime Video,2000,1 mois,2026-04-28 17:53:44.735047+00,completed,mutual,863,,,479,subscription
965,71f3a3a7-88f0-4df8-991f-ebe1235e23ea,Netflix,2500,1 mois,2026-05-05 23:52:00+00,completed,mutual,912,343,,343,subscription
298,6c19a7de-aeec-473d-b79b-0d647581dfc0,Netflix,2500,1 mois,2026-03-27 16:47:40.630874+00,completed,mutual,102,,,169,subscription
908,2da9179d-a778-41ef-9540-cfd50541475e,Netflix,2500,1 mois,2026-05-01 15:27:46.107413+00,completed,mutual,425,,,495,subscription
809,460d14f3-0946-4081-be95-a103878223a8,Netflix,2500,1 mois,2026-04-24 01:41:30.29828+00,completed,mutual,450,127,,127,subscription
1084,7e0decdd-b020-4460-8302-7e3c05a7fbcf,Netflix,2500,1 mois,2026-05-17 20:25:49.880862+00,completed,mutual,946,407,,407,subscription
866,2e89829e-0446-40a4-ab42-397038db0795,Netflix,2500,1 mois,2026-04-26 12:53:38.164164+00,completed,mutual,327,163,,163,subscription
2147,7013eb10-996a-4bb8-9da7-f8618a989005,Netflix,2500,1 mois,2026-07-04 23:02:00+00,completed,mutual,143,9,,9,renewal
303,9dbbdfd7-d96c-4424-be2a-c00a62a8b89a,Spotify,2000,1 mois,2026-03-28 12:13:07.37413+00,completed,mutual,17,,,171,subscription
817,1f11d26b-124b-42fc-8473-091d336cf34f,Netflix,5500,1 mois,2026-04-24 12:16:46.02103+00,completed,personal,839,128,,128,subscription
1032,968b16a1-c944-4186-899a-59f01cb15f06,Hbo Max,2500,1 mois,2026-05-09 17:27:10.615523+00,completed,mutual,475,338,,338,subscription
915,de76903a-230d-4665-ad8b-e6c25824a3d4,Disney Plus,2500,1 mois,2026-05-01 23:59:14.863021+00,completed,mutual,816,,,499,subscription
873,d8605911-9984-4a8f-8577-b147cc37e834,Surfshark,1500,1 mois,2026-04-28 16:52:43.555697+00,completed,mutual,863,200,,200,subscription
974,7f936385-9f49-48af-a1f9-454e65fd76ec,Spotify,2000,1 mois,2026-05-06 19:44:36.644451+00,completed,mutual,671,307,,307,subscription
1172,9ffaaae3-1ceb-4236-8b63-ecd6e725d559,Surfshark,1500,1 mois,2026-05-19 00:00:00+00,completed,mutual,533,48,,48,subscription
1131,11336772-b2cc-4524-82aa-988928571283,Onoff,7000,1 mois,2026-05-20 19:30:40.080983+00,completed,personal,452,,,577,subscription
882,672d4100-d820-4218-9420-eeae466ae515,Spotify,2000,1 mois,2026-04-30 13:54:59.360633+00,completed,mutual,158,,,483,subscription
1095,a150d6c5-0eef-4944-bf3a-7b31e3a6b325,Disney Plus,2500,1 mois,2026-05-16 11:51:44.477249+00,completed,mutual,498,52,,52,subscription
982,e364e9b0-1a21-47e3-bd25-209404d33551,Netflix,2500,1 mois,2026-05-08 16:35:34.265201+00,completed,mutual,528,,,530,subscription
1166,0e6cc60c-4bdc-47e6-9d08-f9824f8b324f,Prime Video,2000,1 mois,2026-05-24 06:48:33.076638+00,completed,mutual,1022,,,592,subscription
1109,9bbdab13-5376-4261-a19f-9d1870076e11,Netflix,2500,1 mois,2026-05-17 23:20:00+00,completed,mutual,803,64,,64,subscription
963,fdcee69e-a350-4ad7-b215-d7aecaf5f5cf,Netflix,2500,1 mois,2026-04-26 23:13:00+00,completed,mutual,857,176,,176,subscription
1145,d695df2f-19fe-41a9-a59f-923ff573d8da,Hbo Max,2500,1 mois,2026-05-21 21:07:10.759552+00,completed,mutual,964,442,,442,subscription
1102,82337cf3-6218-493e-82a7-324d70f3a509,Apple Music,2000,1 mois,2026-05-17 17:10:06.859096+00,completed,mutual,1013,,,569,subscription
1053,4d9f5c61-137a-4f4d-82c7-45df3044db83,Prime Video,2000,1 mois,2026-05-13 15:22:50.873095+00,completed,mutual,691,379,,379,subscription
1004,0331c429-995f-42c4-b007-6eacd1b3df89,Surfshark,1500,1 mois,2026-05-10 10:20:52.739871+00,completed,mutual,859,346,,346,subscription
1151,22be98f1-a553-455a-a9e0-c01894744e3e,Disney Plus,2500,1 mois,2026-05-22 14:31:59.414617+00,completed,mutual,67,,,,subscription
1018,87d22484-5087-44bb-9a44-776f2d51aa6d,Hbo Max,2500,1 mois,2026-05-08 23:58:00+00,completed,mutual,85,109,,109,subscription
1138,f62d0422-b812-4e0c-93e3-1684fbcc7cf7,Hbo Max,2500,1 mois,2026-05-21 13:33:41.62733+00,completed,mutual,887,,,580,subscription
1060,b8edc308-e41f-4510-af58-483671cf1488,Surfshark,1500,1 mois,2026-04-27 15:12:07.696312+00,completed,mutual,28,175,,175,subscription
1185,7066ae3f-4e72-4253-ab22-c31c02d6972a,Apple Music,2000,1 mois,2026-05-22 13:10:22.21235+00,completed,mutual,827,98,,98,renewal
1201,f69e14c4-22a6-44d7-827a-87fa2c83e5f0,Surfshark,1500,1 mois,2026-05-27 15:52:14.937408+00,completed,mutual,859,180,,180,extension
1191,71022709-99a3-4ee0-97f5-1d086103ab41,Netflix,2500,1 mois,2026-05-24 12:28:21.161939+00,completed,mutual,840,129,,129,renewal
778,28dbfe65-1bf3-455c-b0bb-c478ddeba63c,Netflix,2500,1 mois,2026-04-21 18:55:00+00,completed,mutual,584,,,,subscription
1207,b2dc46c0-28ac-46ab-a07a-e682bc8d4746,Netflix,2500,1 mois,2026-05-27 15:58:03.208886+00,completed,mutual,21,181,,181,renewal
1208,6b8e8efc-ef39-4eeb-9955-f52c44808b25,Spotify,2000,1 mois,2026-05-28 11:09:31.984753+00,completed,mutual,10,,,609,subscription
1054,713913a3-5984-45a1-be14-08f80122571d,Netflix,4500,1 mois,2026-05-12 23:23:00+00,completed,personal,539,389,,389,subscription
1192,3da28ba0-1e5a-4b9e-bcc4-c4221760334c,Netflix,2500,1 mois,2026-05-26 15:09:44.159219+00,completed,mutual,855,165,,165,renewal
771,85de25ae-150f-41ba-9483-43d397dcf87e,Crunchyroll,1500,1 mois,2026-04-21 21:15:18.111652+00,completed,mutual,928,,,,subscription
1065,f4ec5f44-c6c2-49bc-8dcc-7f843b146fee,Crunchyroll,1500,1 mois,2026-05-14 09:58:51.95302+00,completed,mutual,1008,,,547,subscription
